time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/exploration_rate,time/episodes
94,0.75,467,0,23.5,0.9107000000000003,4
187,1.125,225,0,23.375,0.8223499999999995,8
273,1.1666666666666667,197,1,22.75,0.7406500000000001,12
416,1.4375,173,2,26.0,0.6048000000000002,16
481,1.2,163,2,24.05,0.5430499999999998,20
562,1.0416666666666667,156,3,23.416666666666668,0.46609999999999985,24
662,0.9642857142857143,146,4,23.642857142857142,0.37109999999999976,28
810,0.96875,148,5,25.3125,0.23050000000000037,32
1016,0.9722222222222222,143,7,28.22222222222222,0.05,36
1242,1.175,137,9,31.05,0.05,40
1393,1.1818181818181819,133,10,31.65909090909091,0.05,44
1547,1.2083333333333333,134,11,32.229166666666664,0.05,48
1674,1.1538461538461537,132,12,32.19230769230769,0.05,52
1876,1.25,130,14,33.5,0.05,56
2032,1.2166666666666666,131,15,33.86666666666667,0.05,60
2134,1.171875,130,16,33.34375,0.05,64
2323,1.1911764705882353,130,17,34.161764705882355,0.05,68
2425,1.1527777777777777,128,18,33.68055555555556,0.05,72
2485,1.0921052631578947,128,19,32.69736842105263,0.05,76
2589,1.0875,127,20,32.3625,0.05,80
2704,1.1071428571428572,126,21,32.19047619047619,0.05,84
2800,1.1136363636363635,125,22,31.818181818181817,0.05,88
2908,1.1195652173913044,125,23,31.608695652173914,0.05,92
3036,1.1354166666666667,124,24,31.625,0.05,96
3120,1.1,124,25,31.2,0.05,100
3203,1.1,124,25,31.09,0.05,104
3265,1.07,123,26,30.78,0.05,108
3391,1.07,122,27,31.18,0.05,112
3548,1.06,122,29,31.32,0.05,116
3655,1.1,122,29,31.74,0.05,120
3778,1.15,122,30,32.16,0.05,124
3848,1.16,122,31,31.86,0.05,128
3940,1.15,122,32,31.3,0.05,132
4029,1.14,121,33,30.13,0.05,136
4114,1.04,121,33,28.72,0.05,140
4184,1.01,121,34,27.91,0.05,144
4262,0.97,121,35,27.15,0.05,148
4316,0.95,120,35,26.42,0.05,152
4420,0.87,120,36,25.44,0.05,156
4506,0.89,120,37,24.74,0.05,160
4743,0.98,119,39,26.09,0.05,164
4842,0.95,120,40,25.19,0.05,168
4942,0.97,120,40,25.17,0.05,172
5094,1.05,120,42,26.09,0.05,176
5205,1.05,119,43,26.16,0.05,180
5403,1.07,120,44,26.99,0.05,184
5513,1.07,119,46,27.13,0.05,188
5616,1.07,119,47,27.08,0.05,192
5842,1.13,118,49,28.06,0.05,196
6030,1.23,118,50,29.1,0.05,200
6131,1.28,118,51,29.28,0.05,204
6244,1.28,117,52,29.79,0.05,208
6397,1.28,117,54,30.06,0.05,212
6489,1.25,117,55,29.41,0.05,216
6609,1.24,117,56,29.54,0.05,220
6815,1.31,117,58,30.37,0.05,224
6946,1.37,116,59,30.98,0.05,228
7050,1.41,116,60,31.1,0.05,232
7139,1.44,116,61,31.1,0.05,236
7223,1.46,116,61,31.09,0.05,240
7367,1.57,116,63,31.83,0.05,244
7452,1.58,116,63,31.9,0.05,248
7547,1.64,116,64,32.31,0.05,252
7682,1.7,116,66,32.62,0.05,256
7772,1.69,116,66,32.66,0.05,260
7917,1.67,115,68,31.74,0.05,264
8093,1.67,114,70,32.51,0.05,268
8179,1.64,114,71,32.37,0.05,272
8262,1.57,114,72,31.68,0.05,276
8382,1.57,113,73,31.77,0.05,280
8585,1.59,113,75,31.82,0.05,284
8653,1.55,112,76,31.4,0.05,288
8732,1.53,112,77,31.16,0.05,292
8845,1.49,112,78,30.03,0.05,296
8998,1.44,112,80,29.68,0.05,300
9098,1.39,112,81,29.67,0.05,304
9197,1.41,111,82,29.53,0.05,308
9304,1.38,111,83,29.07,0.05,312
9382,1.37,111,84,28.93,0.05,316
9487,1.37,111,85,28.78,0.05,320
9573,1.25,111,86,27.58,0.05,324
9683,1.22,110,87,27.37,0.05,328
9829,1.21,110,88,27.79,0.05,332
9915,1.17,110,89,27.76,0.05,336
9964,1.13,110,89,27.41,0.05,340
