rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.0,1.25,26.75,4,107,37,2,,
0.0,,,,25000,,,0.0,6742.5
0.0,0.625,3384.0,8,27072,83,323,,
0.0,,,,50000,,,0.0,6742.25
0.0,0.4166666666666667,4503.0,12,54036,80,673,,
0.0,,,,75000,,,0.0,6741.5
0.0,0.3125,5063.25,16,81012,81,994,,
0.0,,,,100000,,,0.0,6741.25
0.0,0.25,5398.8,20,107976,81,1317,,
0.0,,,,125000,,,0.0,6740.0
0.0,0.20833333333333334,5623.083333333333,24,134954,82,1641,,
0.0,,,,150000,,,0.0,6742.5
0.0,0.17857142857142858,5783.035714285715,28,161925,82,1967,,
0.0,,,,175000,,,0.0,6739.25
0.0,0.15625,5903.03125,32,188897,82,2290,,
0.0,,,,200000,,,0.0,6742.5
